team_name,opponent_name,team_city,opponent_city,distance
Estrela,Farense,Amadora,Faro,222
Estrela,Lusitano FCV,Amadora,Vildemoinhos,240
Estrela Vendas Novas,Paredes,Vendas Novas,Paredes,282
Estudantes Africanos,Arouca,Coimbra,Arouca,82
FC Barreirense,Madalena,Barreiro,"Madalena, Pico Island",
FC Barreirense,Mirandela,Barreiro,Mirandela,352
FC Barreirense,Operário,Barreiro,"Lagoa, Azores",1447
FC Barreirense,Valadares Gaia,Barreiro,Vila Nova de Gaia,273
FC Porto,Academico Viseu,Porto,Viseu,69
FC Porto,Belenenses,Porto,Lisbon,267
FC Porto,Feirense,Porto,Santa Maria da Feira,16
FC Porto,Montalegre,Porto,Montalegre,104
FC Porto,Portimonense,Porto,Portimão,436
FC Porto,SC Braga,Porto,Braga,56
FC Porto,Sporting CP,Porto,Lisbon,267
FC Porto,Tondela,Porto,Tondela,72
FC Porto,Varzim,Porto,Póvoa de Varzim,40
FC Porto,Vitoria Setubal,Porto,Setúbal,284
FC Serpa,CD Olivais e Moscavide,Serpa,Lisbon,159
FC Serpa,Castrense,Serpa,Castro Verde,51
FC Serpa,Estoril,Serpa,Estoril,178
FC Serpa,GIL Vicente,Serpa,Barcelos,408
FC Serpa,Gouveia,Serpa,Gouveia,281
FC Serpa,SC Covilha,Serpa,Covilhã,260
Fabril Barreiro,Academico Viseu,Barreiro,Viseu,243
Fabril Barreiro,FC Porto,Barreiro,Porto,271
Fabril Barreiro,Maritimo,Barreiro,Funchal,976
Fabril Barreiro,Moreirense,Barreiro,Moreira de Cónegos,308
Fabril Barreiro,Rabo Peixe,Barreiro,Rabo de Peixe,1448
Fafe,Amarante,Fafe,Amarante,21
Fafe,Anadia,Fafe,Anadia,114
Fafe,Felgueiras 1932,Fafe,Felgueiras,47
Fafe,Ideal,Fafe,Ponta Delgada,1555
Fafe,Penafiel,Fafe,Penafiel,29
Fafe,Rebordelo,Fafe,Bragança,91
Fafe,Ribeira Brava,Fafe,"Ribeira Brava, Madeira",1249
Fafe,Vilar de Perdizes,Fafe,Montalegre,64
Famalicao,Academica,Famalicão,Coimbra,133
Famalicao,Belenenses,Famalicão,Lisbon,304
Famalicao,Dumiense,Famalicão,Braga,20
Famalicao,FC Porto,Famalicão,Porto,38
