team_name,opponent_name,Distance,distance
Holstein Kiel,Energie Cottbus,,402.0
Holstein Kiel,FC Augsburg,,665.0
Holstein Kiel,FC Magdeburg,,264.0
Holstein Kiel,FSV Mainz 05,,499.0
Holstein Kiel,MSV Duisburg,,401.0
Holstein Kiel,SC Freiburg,,723.0
Holstein Kiel,SV Darmstadt 98,,505.0
Holstein Kiel,TSV 1860 Munich,,700.0
Holstein Kiel,VfB Stuttgart,,618.0
Illertissen,Eintracht Frankfurt,,235.0
Illertissen,FC Heidenheim,,50.0
Illertissen,Fortuna Dusseldorf,,409.0
Illertissen,Werder Bremen,,546.0
Jahn Regensburg,1.FC Köln,,427.0
Jahn Regensburg,Bayern Munich,,100.0
Jahn Regensburg,Borussia Monchengladbach,,469.0
Jahn Regensburg,FC Heidenheim,,147.0
Jahn Regensburg,FC Magdeburg,,349.0
Jahn Regensburg,Fortuna Dusseldorf,,450.0
Jahn Regensburg,Hansa Rostock,,565.0
Jahn Regensburg,Hertha Berlin,,399.0
Jahn Regensburg,SV Darmstadt 98,,265.0
Jahn Regensburg,Union Berlin,,398.0
Jahn Regensburg,Werder Bremen,,506.0
KFC Uerdingen 05,Borussia Dortmund,,154.0
Kaan-Marienborn,FC Nurnberg,,
Karlsruher SC,Alemannia Aachen,,
Karlsruher SC,Bayer Leverkusen,,
Karlsruher SC,FC Schalke 04,,
Karlsruher SC,Hamburger SV,,
Karlsruher SC,Hannover 96,,
Karlsruher SC,MSV Duisburg,,
Karlsruher SC,SC Freiburg,,
Karlsruher SC,Union Berlin,,
Karlsruher SC,VfL Wolfsburg,,
Kickers Emden,FSV Frankfurt,,
Kickers Offenbach,Borussia Monchengladbach,,
Kickers Offenbach,FC Ingolstadt 04,,
Kickers Offenbach,Fortuna Dusseldorf,,
Kickers Offenbach,Hannover 96,,
Kickers Offenbach,Karlsruher SC,,
Kickers Offenbach,SpVgg Greuther Furth,,
Kickers Offenbach,Union Berlin,,
Kickers Offenbach,VfL Wolfsburg,,
Leher,1.FC Köln,,
Lippstadt 08,Bayer Leverkusen,,
Lokomotive Leipzig,Bayer Leverkusen,,
Lokomotive Leipzig,Eintracht Frankfurt,,
Luneburger SK Hansa,FSV Mainz 05,,
MSV Duisburg,1.FC Köln,,
MSV Duisburg,1899 Hoffenheim,,
MSV Duisburg,Borussia Dortmund,,
MSV Duisburg,FC Nurnberg,,
MSV Duisburg,FC Schalke 04,,
MSV Duisburg,SC Paderborn 07,,
MSV Duisburg,SpVgg Greuther Furth,,
MSV Duisburg,Union Berlin,,
Makkabi,VfL Wolfsburg,,
Meinerzhagen,SpVgg Greuther Furth,,
Neckarsulmer SU,FC Kaiserslautern,,
Neubrandenburg 04,Karlsruher SC,,
Neustrelitz,Karlsruher SC,,
Neustrelitz,SC Freiburg,,
Oberachern,Borussia Monchengladbach,,
Oberachern,SC Freiburg,,
Oberneuland,Borussia Dortmund,,
Oberneuland,Borussia Monchengladbach,,
Oberneuland,FC Ingolstadt 04,,
Oberneuland,FC Nurnberg,,
Oberneuland,SV Darmstadt 98,,
Offenburger FV,FC St. Pauli,,
Optik Rathenow,FC St. Pauli,,
Optik Rathenow,FSV Frankfurt,,
Paloma,1899 Hoffenheim,,
Pfeddersheim,SpVgg Greuther Furth,,
Pirmasens,FC Heidenheim,,
Preussen Munster,Bayern Munich,,
Preussen Munster,FC Augsburg,,
Preussen Munster,FC St. Pauli,,
Preussen Munster,Hertha Berlin,,
Preussen Munster,VfL Wolfsburg,,
Preussen Munster,Werder Bremen,,
