team_name,opponent_name,team_city,opponent_city,distance
NAC Breda,PSV Eindhoven,Breda,Eindhoven,53
NAC Breda,Utrecht,Breda,Utrecht,61
NAC Breda,VVV Venlo,Breda,Venlo,102
NEC Nijmegen,Achilles 29,Nijmegen,Groesbeek,9
NEC Nijmegen,Fortuna Sittard,Nijmegen,Sittard,95
NEC Nijmegen,GO Ahead Eagles,Nijmegen,Deventer,53
NEC Nijmegen,VVV Venlo,Nijmegen,Venlo,57
Noordwijk,Fortuna Sittard,Noordwijk,Sittard,172
Noordwijk,Sparta Rotterdam,Noordwijk,Rotterdam,39
OFC Oostzaan,Emmen,Oostzaan,Emmen,142
OFC Oostzaan,Spakenburg,Oostzaan,Bunschoten-Spakenburg,40
OFC Oostzaan,Sparta Rotterdam,Oostzaan,Rotterdam,66
OJC Rosmalen,ADO Den Haag,Rosmalen,The Hague,77
ONS Sneek,Twente,Sneek,Enschede,119
OSS '20,FC OSS,Oss,Oss,2
OSS '20,Twente,Oss,Enschede,110
PEC Zwolle,Kozakken Boys,Zwolle,Werkendam,115
PEC Zwolle,MVV,Zwolle,Maastricht,188
PEC Zwolle,NEC Nijmegen,Zwolle,Nijmegen,77
PSV Eindhoven,ADO Den Haag,Eindhoven,The Hague,103
PSV Eindhoven,Emmen,Eindhoven,Emmen,179
PSV Eindhoven,Fortuna Sittard,Eindhoven,Sittard,56
PSV Eindhoven,Telstar,Eindhoven,Velsen,127
PSV Eindhoven,VVV Venlo,Eindhoven,Venlo,49
PSV Eindhoven,Waalwijk,Eindhoven,Waalwijk,39
Quick Boys,FC Volendam,Katwijk,Volendam,57
RKAV Volendam,HV & CV Quick,Volendam,The Hague,69
RKAV Volendam,Vitesse,Volendam,Arnhem,74
Rijnsburgse Boys,De Graafschap,Rijnsburg,Doetinchem,130
Rijnsburgse Boys,FC Eindhoven,Rijnsburg,Eindhoven,111
Rijnsburgse Boys,FC OSS,Rijnsburg,Oss,90
Rijnsburgse Boys,Heracles,Rijnsburg,Almelo,154
Rijnvogels,Cambuur,Katwijk,Leeuwarden,148
Roda,Ajax,Kerkrade,Amsterdam,181
Roda,Den Bosch,Kerkrade,Den Bosch,105
Roda,Fortuna Sittard,Kerkrade,Sittard,19
Roda,Groningen,Kerkrade,Groningen,265
Roda,Heracles,Kerkrade,Almelo,172
