Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win
2019,2nd Preliminary Round,,Kloetinge,3930,Groene Ster,1236,0.0
2019,2nd Preliminary Round,,Achilles Veen,1282,HHC,1278,1.0
2019,2nd Preliminary Round,,HHC,1278,Achilles Veen,1282,0.0
2019,2nd Preliminary Round,,Dongen,1285,Excelsior '31,6263,0.0
2019,2nd Preliminary Round,,Excelsior '31,6263,Dongen,1285,1.0
2019,2nd Preliminary Round,,VVOG,3907,Ajax Amateurs,1266,0.0
2019,2nd Preliminary Round,,Ajax Amateurs,1266,VVOG,3907,1.0
2019,2nd Preliminary Round,,GVVV Veenendaal,1261,Kozakken Boys,1242,1.0
2019,2nd Preliminary Round,,Kozakken Boys,1242,GVVV Veenendaal,1261,0.0
2019,2nd Preliminary Round,,DUNO,6261,HV & CV Quick,3894,0.0
2019,2nd Preliminary Round,,HV & CV Quick,3894,DUNO,6261,1.0
2019,2nd Preliminary Round,,ASWH,1254,TEC,1255,1.0
2019,2nd Preliminary Round,,TEC,1255,ASWH,1254,0.0
2019,2nd Preliminary Round,,EVV,1286,Flevo Boys,3891,0.0
2019,2nd Preliminary Round,,Flevo Boys,3891,EVV,1286,1.0
2019,2nd Preliminary Round,,SVV Scheveningen,1250,Harkemase Boys,1258,0.0
2019,2nd Preliminary Round,,Harkemase Boys,1258,SVV Scheveningen,1250,1.0
2019,2nd Preliminary Round,,ADO '20,3886,Fortuna Wormerveer,6264,0.0
2019,2nd Preliminary Round,,Fortuna Wormerveer,6264,ADO '20,3886,1.0
2019,2nd Preliminary Round,,HSV ODIN 59,1245,Barendrecht,1271,1.0
2019,2nd Preliminary Round,,Barendrecht,1271,HSV ODIN 59,1245,0.0
2019,2nd Preliminary Round,,Noordwijk,1247,Rijnsburgse Boys,1248,0.0
2019,2nd Preliminary Round,,Rijnsburgse Boys,1248,Noordwijk,1247,1.0
2019,2nd Preliminary Round,,Silvolde,6270,GOES,3892,0.0
2019,2nd Preliminary Round,,GOES,3892,Silvolde,6270,1.0
2019,1st Round,1.0,GOES,3892,Cambuur,420,0.0
2019,1st Round,1.0,Cambuur,420,GOES,3892,1.0
2019,1st Round,1.0,Flevo Boys,3891,Katwijk,1237,0.0
2019,1st Round,1.0,Katwijk,1237,Flevo Boys,3891,1.0
2019,1st Round,1.0,GVVV Veenendaal,1261,Helmond Sport,424,1.0
2019,1st Round,1.0,Helmond Sport,424,GVVV Veenendaal,1261,0.0
2019,1st Round,1.0,Achilles Veen,1282,Roda,414,0.0
2019,1st Round,1.0,Roda,414,Achilles Veen,1282,1.0
2019,1st Round,1.0,Rijnsburgse Boys,1248,FC Eindhoven,422,0.0
2019,1st Round,1.0,FC Eindhoven,422,Rijnsburgse Boys,1248,1.0
2019,1st Round,1.0,OSS '20,3898,FC OSS,423,0.0
2019,1st Round,1.0,FC OSS,423,OSS '20,3898,1.0
2019,1st Round,1.0,Groene Ster,1236,VVV Venlo,204,1.0
2019,1st Round,1.0,VVV Venlo,204,Groene Ster,1236,0.0
2019,1st Round,1.0,HV & CV Quick,3894,Willem II,195,0.0
2019,1st Round,1.0,Willem II,195,HV & CV Quick,3894,1.0
2019,1st Round,1.0,Sparta Nijkerk,1274,Fortuna Wormerveer,6264,1.0
2019,1st Round,1.0,Fortuna Wormerveer,6264,Sparta Nijkerk,1274,0.0
2019,1st Round,1.0,Spakenburg,1249,ASWH,1254,1.0
2019,1st Round,1.0,ASWH,1254,Spakenburg,1249,0.0
2019,1st Round,1.0,Ajax Amateurs,1266,OFC Oostzaan,1232,0.0
2019,1st Round,1.0,OFC Oostzaan,1232,Ajax Amateurs,1266,1.0
2019,1st Round,1.0,AFC Amsterdam,1252,HSV ODIN 59,1245,0.0
2019,1st Round,1.0,HSV ODIN 59,1245,AFC Amsterdam,1252,1.0
2019,1st Round,1.0,Harkemase Boys,1258,Groningen,202,0.0
2019,1st Round,1.0,Groningen,202,Harkemase Boys,1258,1.0
2019,1st Round,1.0,De Treffers,1277,Twente,415,0.0
2019,1st Round,1.0,Twente,415,De Treffers,1277,1.0
2019,1st Round,1.0,Excelsior '31,6263,Utrecht,207,0.0
2019,1st Round,1.0,Utrecht,207,Excelsior '31,6263,1.0
2019,2nd Round,2.0,Ijsselmeervogels,1280,SteDoCo,3905,1.0
2019,2nd Round,2.0,SteDoCo,3905,Ijsselmeervogels,1280,0.0
2019,2nd Round,2.0,Heracles,206,Dordrecht,409,1.0
2019,2nd Round,2.0,Dordrecht,409,Heracles,206,0.0
2019,2nd Round,2.0,Telstar,427,Ajax,194,0.0
2019,2nd Round,2.0,Ajax,194,Telstar,427,1.0
2019,2nd Round,2.0,Heerenveen,210,Roda,414,1.0
