Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win,Opponent_rank_prev,Team_rank_prev,Team_rank,Rank_diff,const,Team_max_stage
2017,1st Round,1,Barendrecht,1271,GO Ahead Eagles,410,0.0,75.0,75.0,43.0,0.0,1,1.0
2017,1st Round,1,GO Ahead Eagles,410,Barendrecht,1271,1.0,75.0,75.0,34.0,0.0,1,2.0
2017,1st Round,1,Emmen,208,NEC Nijmegen,413,0.0,75.0,75.0,22.0,0.0,1,1.0
2017,1st Round,1,NEC Nijmegen,413,Emmen,208,1.0,75.0,75.0,19.0,0.0,1,3.0
2017,1st Round,1,FC OSS,423,Almere City FC,419,0.0,75.0,75.0,27.0,0.0,1,1.0
2017,1st Round,1,Almere City FC,419,FC OSS,423,1.0,75.0,75.0,26.0,0.0,1,2.0
2017,1st Round,1,GVVV Veenendaal,1261,Dordrecht,409,1.0,75.0,75.0,42.0,0.0,1,3.0
2017,1st Round,1,Dordrecht,409,GVVV Veenendaal,1261,0.0,75.0,75.0,29.0,0.0,1,1.0
2017,1st Round,1,Helmond Sport,424,Cambuur,420,0.0,75.0,75.0,37.0,0.0,1,1.0
2017,1st Round,1,Cambuur,420,Helmond Sport,424,1.0,75.0,75.0,30.0,0.0,1,4.0
2017,1st Round,1,Kozakken Boys,1242,De Graafschap,199,1.0,75.0,75.0,40.0,0.0,1,2.0
2017,1st Round,1,De Graafschap,199,Kozakken Boys,1242,0.0,75.0,75.0,25.0,0.0,1,1.0
2017,1st Round,1,Noordwijk,1247,Fortuna Sittard,205,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,Fortuna Sittard,205,Noordwijk,1247,1.0,75.0,75.0,21.0,0.0,1,3.0
2017,1st Round,1,Quick Boys,1272,FC Volendam,416,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,FC Volendam,416,Quick Boys,1272,1.0,75.0,75.0,33.0,0.0,1,2.0
2017,1st Round,1,Rijnsburgse Boys,1248,Heracles,206,0.0,75.0,75.0,45.0,0.0,1,1.0
2017,1st Round,1,Heracles,206,Rijnsburgse Boys,1248,1.0,75.0,75.0,11.0,0.0,1,3.0
2017,1st Round,1,SC Genemuiden,1273,De Treffers,1277,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,De Treffers,1277,SC Genemuiden,1273,1.0,75.0,75.0,51.0,0.0,1,2.0
2017,1st Round,1,Sparta Nijkerk,1274,FC Eindhoven,422,0.0,75.0,75.0,,0.0,1,1.0
2017,1st Round,1,FC Eindhoven,422,Sparta Nijkerk,1274,1.0,75.0,75.0,31.0,0.0,1,2.0
2017,1st Round,1,Waalwijk,417,Sparta Rotterdam,426,1.0,75.0,75.0,36.0,0.0,1,3.0
2017,1st Round,1,Sparta Rotterdam,426,Waalwijk,417,0.0,75.0,75.0,18.0,0.0,1,1.0
2017,1st Round,1,Zwaluwen,1275,Den Bosch,421,0.0,75.0,75.0,,0.0,1,1.0
