stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
5,0.12264419848406678,0.464891928329026,0.7936161006880478,0.07926520898408451,3.6750619587514386,0.014258540349303716,0.06044267196229072,84,team_better,"['team_home', 'extra_time', 'next_fixture_days']",False
6,0.38498076000838977,0.5297104037522699,0.4785528072152949,0.058142757022698555,6.494420904112158,0.0030661563101833387,0.18972985332040374,84,team_better,"['team_home', 'extra_time', 'next_fixture_days']",False
1,-0.21841561513290075,0.2747950805835187,0.42717626920037877,0.07248189664790794,21.52455160848367,4.0316767068308564e-19,-0.10764164583484101,85,team_better,"['team_size', 'foreigners', 'mean_age', 'total_value']",False
2,-0.03605207828697489,0.23655531518499173,0.8789822099638231,0.059107951511480405,15.239881555804091,3.4626813541886274e-13,-0.01776752564240975,85,team_better,"['team_size', 'foreigners', 'mean_age', 'total_value']",False
3,-0.6135081355041709,0.3697844385651169,0.09935101144846348,0.04930571459785038,7.0518292404690355,6.643226382065054e-06,-0.30235487237737296,85,team_better,"['team_size', 'foreigners', 'mean_age', 'total_value']",False
4,0.48144656641755246,0.30526644257039626,0.11961917925837587,0.2688230568603486,11.056645666486492,9.953889011556073e-08,0.23727104291140055,85,team_better,"['team_size', 'foreigners', 'mean_age', 'total_value']",False
5,0.11192615573171476,1.1146062752138792,0.9206593844762812,0.11381029297712753,2.9457437091026875,0.027378494341631143,0.05516050492817388,85,team_better,"['team_size', 'foreigners', 'mean_age', 'total_value']",False
6,0.1548470854065745,0.6488776143703985,0.8148437555600737,0.09680809568805404,3.457136480049234,0.030437492637886688,0.07631320277055186,85,team_better,"['team_size', 'foreigners', 'mean_age', 'total_value']",False
1,0.05452662372862799,0.35427242554132926,0.877755938436399,0.027361744887487105,19.739326750168523,1.2799531177489164e-17,0.026872325572488302,86,team_better,"['team_size', 'foreigners', 'mean_age', 'distance']",False
2,0.11429749430643092,0.20913485996036738,0.5851579191473766,0.030196715530579787,15.27017767794528,3.271600201740187e-13,0.05632917039588221,86,team_better,"['team_size', 'foreigners', 'mean_age', 'distance']",False
3,-0.288795250419432,0.28431025155494244,0.31150135620493125,0.0277122828902574,7.552935094581244,2.658039142397047e-06,-0.1423268022550374,86,team_better,"['team_size', 'foreigners', 'mean_age', 'distance']",False
4,0.7572104232940853,0.29796432886410174,0.01343998939779781,0.17376109856257038,11.076491460850274,9.703859285380866e-08,0.37317559075195544,86,team_better,"['team_size', 'foreigners', 'mean_age', 'distance']",True
5,0.3392504671698328,0.47528965606457346,0.48070540783308413,0.10986037467011556,3.2099221485655542,0.018913608979879457,0.16719261859633744,86,team_better,"['team_size', 'foreigners', 'mean_age', 'distance']",False
6,0.3489100934312822,0.6216532951688813,0.5834921766979867,0.09102955655151668,5.989080934139104,0.0036354189842568822,0.17195316682133127,86,team_better,"['team_size', 'foreigners', 'mean_age', 'distance']",False
1,0.5547452827514419,0.8274558803838895,0.502969474152767,0.026552865205744514,19.734569442077294,1.2918915997129957e-17,0.27339480841672,87,team_better,"['team_size', 'foreigners', 'mean_age', 'team_home']",False
2,0.06840281109327617,0.20760542499258883,0.7420457628220507,0.03400410800259479,15.327039254552822,2.9411381007233373e-13,0.03371091925515381,87,team_better,"['team_size', 'foreigners', 'mean_age', 'team_home']",False
3,-0.2818069959134773,0.28370964752157984,0.3222928470841623,0.028469171785060032,7.764738020778685,1.8092239434305292e-06,-0.13888278468296045,87,team_better,"['team_size', 'foreigners', 'mean_age', 'team_home']",False
4,0.7799577421606342,0.2950612194187272,0.010276295013012277,0.1700021294601456,10.807691429061247,1.371760450585816e-07,0.3843861392268681,87,team_better,"['team_size', 'foreigners', 'mean_age', 'team_home']",True
5,0.3125586400847569,0.47979067834730565,0.51955797723281,0.10200232514479535,2.9801677918010228,0.026082735986517277,0.1540381003352309,87,team_better,"['team_size', 'foreigners', 'mean_age', 'team_home']",False
6,0.28921483179776375,0.5430464851572077,0.6026765746781614,0.0958020157374263,6.486589182950351,0.002549543281437714,0.14253358431179558,87,team_better,"['team_size', 'foreigners', 'mean_age', 'team_home']",False
1,-0.17920845481047565,0.27793245349760315,0.5194265361411348,0.024403623222618687,19.769263351116724,1.2073279940216287e-17,-0.08831920287192215,88,team_better,"['team_size', 'foreigners', 'mean_age', 'extra_time']",False
2,0.13805519151361512,0.21513163012846842,0.5215986561254764,0.03214966753198245,14.482843049246922,1.439871588676955e-12,0.06803766306510389,88,team_better,"['team_size', 'foreigners', 'mean_age', 'extra_time']",False
3,-0.3386634954452414,0.30140423794940413,0.2631115715206954,0.031264077425189885,6.3761028057932725,2.3131925393865777e-05,-0.1669033416485556,88,team_better,"['team_size', 'foreigners', 'mean_age', 'extra_time']",False
4,0.8187574046322788,0.27000262997147073,0.003483111340754944,0.21906237017361807,10.954863976172263,1.1344434095905959e-07,0.40350775525117505,88,team_better,"['team_size', 'foreigners', 'mean_age', 'extra_time']",True
5,0.3117232196170575,0.4856835628356142,0.5257055427071216,0.14791640749157065,2.1634036378212063,0.08392787250943545,0.15362638053189837,88,team_better,"['team_size', 'foreigners', 'mean_age', 'extra_time']",False
6,0.30003265266179874,0.4712632531497277,0.5346207579440074,0.09834208146103851,3.4548022527012687,0.030506191541192933,0.14786492493706482,88,team_better,"['team_size', 'foreigners', 'mean_age', 'extra_time']",False
1,-0.17159488889450628,0.27493476085239615,0.5328930854073484,0.02452082788096921,19.949813925130226,8.490997346998378e-18,-0.08456701342627138,89,team_better,"['team_size', 'foreigners', 'mean_age', 'next_fixture_days']",False
2,0.15223291428243954,0.21330855939902651,0.47604710773918024,0.051287332417684794,14.447624975791838,1.5390467109796904e-12,0.07502486227289751,89,team_better,"['team_size', 'foreigners', 'mean_age', 'next_fixture_days']",False
3,-0.3077206673974063,0.3033144152523538,0.3120940350977786,0.03246563339630193,6.504118919770509,1.8243582341164844e-05,-0.15165380495299116,89,team_better,"['team_size', 'foreigners', 'mean_age', 'next_fixture_days']",False
4,0.7730991513963142,0.2845136188015487,0.008427276184937495,0.17088348130067865,11.340669075704827,6.928528208644014e-08,0.3810060237642909,89,team_better,"['team_size', 'foreigners', 'mean_age', 'next_fixture_days']",True
5,0.3311138126893604,0.496306684633702,0.5096086858470463,0.10041477284723,2.1942676358179574,0.0802619229482338,0.16318263570507505,89,team_better,"['team_size', 'foreigners', 'mean_age', 'next_fixture_days']",False
6,0.27252152531116214,0.45709119806009896,0.5605531179827916,0.0912917498059782,3.7017448794544006,0.024115189236336113,0.13430663138285842,89,team_better,"['team_size', 'foreigners', 'mean_age', 'next_fixture_days']",False
1,0.060241762033111546,0.3381655087150239,0.8586996544215321,0.07652971268489694,21.49306922474479,4.2832434556331916e-19,0.02968891399678217,90,team_better,"['team_size', 'foreigners', 'total_value', 'distance']",False
2,-0.03514710591905285,0.22768800882058476,0.8774375387919066,0.053478053922562,15.513918299144935,2.0737220978398035e-13,-0.017321528614867063,90,team_better,"['team_size', 'foreigners', 'total_value', 'distance']",False
3,-0.5510768261135884,0.345026979070275,0.11249220912504064,0.03541891262111618,8.055799338843523,1.06899729269947e-06,-0.27158688497712513,90,team_better,"['team_size', 'foreigners', 'total_value', 'distance']",False
4,0.5302236195965581,0.3182964904629431,0.10056268729417736,0.2619231718426368,11.399284262218945,6.43237451168316e-08,0.2613098108354199,90,team_better,"['team_size', 'foreigners', 'total_value', 'distance']",False
5,-0.0803212695945778,0.8603747208910439,0.9262213894217708,0.06776673800550159,3.5878555131213914,0.011247369061796223,-0.03958468651356952,90,team_better,"['team_size', 'foreigners', 'total_value', 'distance']",False
6,0.19248635172920275,0.6175023019351508,0.759848912871133,0.0943065558032351,4.123564207141786,0.016390565381286176,0.09486294140768335,90,team_better,"['team_size', 'foreigners', 'total_value', 'distance']",False
